day,month_cos,month_sin,tod_id,start_station_id,end_station_id,direction_id,hour,min,link_load,output
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,16,0,,6061.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,16,15,,6479.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,16,30,,6479.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,16,45,,6688.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,17,0,,7315.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,17,15,,7524.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,17,30,,7942.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,17,45,,7524.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,18,0,,6688.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,18,15,,6479.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,18,30,,5852.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,18,45,,5225.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,19,0,,4389.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,19,15,,4180.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,19,30,,3135.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,19,45,,2299.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,20,0,,1881.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,20,15,,1463.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,20,30,,1463.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,20,45,,1254.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,21,0,,1045.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,21,15,,1045.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,21,30,,1254.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,21,45,,1254.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,22,0,,1254.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,22,15,,1045.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,22,30,,1045.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,22,45,,836.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,23,0,,836.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,23,15,,627.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,23,30,,627.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,0,1,0,23,45,,418.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,0,0,,418.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,0,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,0,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,0,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,1,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,1,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,1,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,1,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,2,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,2,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,2,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,2,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,3,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,3,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,3,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,3,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,4,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,4,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,4,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,4,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,5,0,,2299.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,5,15,,3553.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,5,30,,7106.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,5,45,,10450.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,6,0,,15257.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,6,15,,18810.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,6,30,,26543.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,6,45,,28842.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,7,0,,35321.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,7,15,,45980.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,7,30,,47652.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,7,45,,53713.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,8,0,,54758.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,1,2,0,8,15,,48906.0
