date,quarterhour,from_station,to_station,direction,link_load
02/04/2019,1845,West Ruislip,Ruislip Gardens,EB,23.34852996535302
02/04/2019,1900,West Ruislip,Ruislip Gardens,EB,19.612765170896537
02/04/2019,1915,West Ruislip,Ruislip Gardens,EB,18.678823972282416
02/04/2019,1930,West Ruislip,Ruislip Gardens,EB,14.009117979211812
02/04/2019,1945,West Ruislip,Ruislip Gardens,EB,10.273353184755328
02/04/2019,2000,West Ruislip,Ruislip Gardens,EB,8.405470787527086
02/04/2019,2015,West Ruislip,Ruislip Gardens,EB,6.537588390298846
02/04/2019,2030,West Ruislip,Ruislip Gardens,EB,6.537588390298846
02/04/2019,2045,West Ruislip,Ruislip Gardens,EB,5.603647191684725
02/04/2019,2100,West Ruislip,Ruislip Gardens,EB,4.669705993070604
02/04/2019,2115,West Ruislip,Ruislip Gardens,EB,4.669705993070604
02/04/2019,2130,West Ruislip,Ruislip Gardens,EB,5.603647191684725
02/04/2019,2145,West Ruislip,Ruislip Gardens,EB,5.603647191684725
02/04/2019,2200,West Ruislip,Ruislip Gardens,EB,5.603647191684725
02/04/2019,2215,West Ruislip,Ruislip Gardens,EB,4.669705993070604
02/04/2019,2230,West Ruislip,Ruislip Gardens,EB,4.669705993070604
02/04/2019,2245,West Ruislip,Ruislip Gardens,EB,3.7357647944564834
02/04/2019,2300,West Ruislip,Ruislip Gardens,EB,3.7357647944564834
02/04/2019,2315,West Ruislip,Ruislip Gardens,EB,2.8018235958423623
02/04/2019,2330,West Ruislip,Ruislip Gardens,EB,2.8018235958423623
02/04/2019,2345,West Ruislip,Ruislip Gardens,EB,1.8678823972282417
02/04/2019,0000,Ruislip Gardens,South Ruislip,EB,1.8667141450946305
02/04/2019,0015,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0030,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0045,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0100,Ruislip Gardens,South Ruislip,EB,0.0
02/04/2019,0115,Ruislip Gardens,South Ruislip,EB,0.0
