Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
MLEu_CEN_WB>BNGu_CEN_WB@CEN,Central,WB,23,642,MLEu,Mile End,520,BNGu,Bethnal Green,44 095,7 695,16 331,11 147,5 995,2 281,644,36,93,337,626,1 037,1 508,1 928,2 130,2 229,2 154,1 961,1 743,1 540,1 331,1 175,1 025,922,808,755,687,636,572,543,501,474,434,426,402,402,399,417,416,430,428,439,438,448,446,451,455,485,481,499,526,529,525,548,542,549,556,529,511,495,439,402,369,327,284,260,226,203,178,167,149,136,123,117,109,106,100,91,81,70,57,46,36,25,16,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNGu_CEN_WB>LSTu_CEN_WB@CEN,Central,WB,24,520,BNGu,Bethnal Green,634,LSTu,Liverpool Street,45 034,7 116,16 860,11 587,6 323,2 446,701,19,99,282,552,947,1 340,1 766,2 111,2 251,2 212,2 066,1 837,1 577,1 354,1 178,1 084,970,843,770,718,651,593,549,528,484,463,438,429,416,423,424,437,439,449,447,463,460,472,461,481,501,507,515,557,550,542,571,574,572,583,565,540,524,472,430,399,355,308,279,248,215,191,173,160,143,132,123,120,114,107,101,91,76,62,50,38,26,17,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSTu_CEN_WB>BNKu_CEN_WB@CEN,Central,WB,25,634,LSTu,Liverpool Street,513,BNKu,Bank,44 277,6 354,16 386,11 541,6 645,2 624,727,0,64,216,460,803,1 216,1 631,1 964,2 090,2 109,1 962,1 751,1 525,1 353,1 168,1 079,975,860,781,733,661,609,553,532,485,470,435,431,414,425,417,431,432,447,437,454,452,457,460,470,481,518,525,547,577,581,562,599,587,593,594,582,545,528,466,431,394,349,300,274,230,204,180,165,146,135,124,121,115,109,100,92,76,63,53,42,29,21,14,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BNKu_CEN_WB>STPu_CEN_WB@CEN,Central,WB,26,513,BNKu,Bank,697,STPu,St Pauls,41 846,5 456,15 721,11 100,6 353,2 520,697,0,52,142,405,660,1 008,1 402,1 787,1 858,1 967,1 887,1 709,1 487,1 351,1 153,1 059,951,830,760,708,645,584,547,503,478,448,430,413,412,406,409,406,416,417,422,425,439,435,448,461,465,479,506,503,523,543,537,548,579,562,568,570,530,496,475,421,379,347,300,252,226,194,172,152,142,125,119,112,107,102,93,83,75,64,50,43,33,21,13,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STPu_CEN_WB>CYLu_CEN_WB@CEN,Central,WB,27,697,STPu,St Pauls,541,CYLu,Chancery Lane,40 856,4 975,14 530,11 138,6 834,2 641,738,0,29,137,316,618,941,1 332,1 603,1 797,1 802,1 713,1 546,1 369,1 216,1 053,982,875,803,706,668,616,562,526,484,466,435,424,406,409,403,412,410,424,423,430,431,448,445,460,469,483,497,534,540,574,592,597,601,629,603,606,603,558,525,501,446,397,364,310,264,235,202,181,161,152,133,125,117,112,104,99,88,78,66,55,44,35,25,16,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CYLu_CEN_WB>HOLu_CEN_WB@CEN,Central,WB,28,541,CYLu,Chancery Lane,607,HOLu,Holborn,40 249,4 596,13 853,10 988,7 247,2 814,749,0,29,110,269,547,866,1 236,1 539,1 743,1 758,1 663,1 503,1 315,1 150,998,918,808,734,643,620,579,537,504,476,442,416,407,392,397,393,403,403,419,420,430,432,451,449,449,465,497,501,539,586,597,613,637,638,651,664,637,636,612,556,516,489,431,382,343,291,248,212,189,168,158,139,131,122,116,103,98,87,78,66,59,48,36,25,16,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOLu_CEN_WB>TCRu_CEN_WB@CEN,Central,WB,29,607,HOLu,Holborn,728,TCRu,Tottenham Court Road,34 928,3 769,11 520,9 401,6 816,2 669,753,0,25,94,227,462,729,991,1 242,1 430,1 441,1 394,1 284,1 145,966,848,744,670,586,529,481,442,414,385,369,353,343,333,332,333,338,345,354,361,368,376,383,392,401,415,423,441,478,495,528,565,576,574,621,616,615,626,606,558,535,486,439,399,354,304,273,235,210,185,169,150,138,128,122,114,108,100,90,78,67,56,45,35,25,16,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCRu_CEN_WB>OXCu_CEN_WB@CEN,Central,WB,30,728,TCRu,Tottenham Court Road,669,OXCu,Oxford Circus,33 201,3 385,10 557,8 818,6 938,2 709,795,0,25,63,211,376,627,914,1 169,1 281,1 356,1 312,1 167,1 045,912,785,677,602,520,470,431,400,374,347,334,317,309,302,307,303,312,320,331,334,344,352,364,368,376,393,416,420,458,503,534,568,598,627,637,628,627,634,592,557,539,493,438,398,355,309,270,240,215,191,176,154,143,132,127,117,112,101,93,80,70,58,52,41,31,20,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OXCu_CEN_WB>BDSu_CEN_WB@CEN,Central,WB,31,669,OXCu,Oxford Circus,524,BDSu,Bond Street,30 800,2 567,9 902,7 991,6 862,2 683,795,0,15,55,133,293,487,684,901,1 099,1 178,1 180,1 156,1 050,897,761,656,570,498,446,411,381,338,312,299,282,275,269,274,272,279,285,298,302,311,316,330,334,345,349,379,391,414,446,509,523,565,594,623,631,631,631,623,571,525,500,445,388,355,306,271,232,210,189,175,154,144,131,127,116,109,100,94,80,70,60,53,41,30,20,13,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BDSu_CEN_WB>MARu_CEN_WB@CEN,Central,WB,32,524,BDSu,Bond Street,640,MARu,Marble Arch,30 371,2 194,9 484,7 905,7 160,2 784,844,0,14,47,110,226,412,583,802,986,1 125,1 128,1 128,1 023,906,746,643,540,471,409,378,351,322,297,281,268,261,261,262,266,271,277,286,293,299,310,324,332,346,371,387,413,448,469,509,562,570,603,632,659,655,657,647,626,567,507,474,406,358,310,281,243,218,196,180,165,151,143,133,123,114,106,99,86,75,65,56,43,31,21,14,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
